,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
451,9.0,4.6,9.8,4.6,8.8,13.2,16.4,16.2,23.6
452,15.0,4.0,9.8,6.6,11.0,13.4,10.2,17.2,23.6
453,8.0,2.4,10.6,5.8,11.6,8.4,14.0,15.6,19.4
454,8.0,4.2,10.6,7.8,15.0,15.0,13.0,19.6,27.8
455,9.0,3.6,8.6,4.4,10.6,12.0,16.0,14.2,16.0
456,12.0,7.2,11.4,5.6,9.4,19.2,22.6,16.2,20.4
457,9.0,3.6,11.2,5.2,8.8,12.6,17.8,16.4,18.8
458,8.0,7.4,12.6,7.6,11.2,16.2,29.2,25.0,14.8
459,11.0,5.6,9.8,7.6,12.2,12.8,19.8,29.2,28.8
460,7.0,4.8,10.0,3.4,11.6,17.4,16.8,12.8,17.8
461,11.0,6.0,9.2,4.8,9.2,15.8,18.8,13.8,17.4
462,7.0,4.2,12.0,4.2,11.4,10.0,18.8,14.8,12.4
463,11.0,4.2,9.8,5.0,11.0,17.0,13.4,11.4,16.0
464,12.0,6.4,10.4,7.2,11.0,25.2,14.2,20.0,23.6
465,10.0,4.2,9.8,3.4,8.2,16.0,16.0,12.8,15.4
466,7.0,7.8,14.4,6.4,11.6,18.0,27.2,20.0,22.2
467,13.0,5.4,10.8,7.2,11.8,12.4,18.6,18.8,26.6
468,11.0,4.2,8.4,4.0,10.0,16.2,22.8,11.0,18.2
469,11.0,6.2,9.2,2.4,10.8,19.0,20.6,7.8,13.4
470,7.0,4.6,7.8,4.2,9.6,16.0,19.6,12.6,16.8
471,12.0,4.6,9.6,4.0,9.8,19.2,18.2,13.4,13.8
472,12.0,7.4,11.4,3.4,8.6,27.6,16.0,13.0,14.4
473,10.0,8.0,11.6,4.4,11.0,27.0,30.8,16.2,15.0
474,9.0,5.2,10.0,3.0,10.8,21.6,18.8,12.8,17.2
475,4.0,4.6,9.0,2.0,10.0,16.0,23.8,8.8,13.6
476,9.0,4.2,7.2,8.4,12.2,16.6,19.4,18.8,25.8
477,18.0,7.0,10.8,7.0,11.4,23.2,15.4,18.8,23.4
